age,body_type,diet,drinks,drugs,height,income,job,last_online,location,offspring,orientation,pets,religion,sex,sign,smokes,speaks,status
22.0,average,other,2,0,75.0,-1.0,transportation,2012-06-28-20-30,california,no_kids,straight,like_boths,agnosticism,m,gemini,sometimes,english,single
35.0,average,other,3,1,70.0,80000.0,hospitality / travel,2012-06-29-21-41,california,no_kids,straight,like_boths,agnosticism,m,cancer,no,"english (fluently), spanish (poorly), french (poorly)",single
38.0,fit,other,2,0,68.0,-1.0,other,2012-06-27-09-10,california,no_kids,straight,like_cats,agnosticism,m,pisces but it doesn&rsquo;t matter,no,"english, french, c++",available
23.0,fit,halal,2,0,71.0,20000.0,student,2012-06-28-14-22,california,no_kids,straight,like_cats,agnosticism,m,pisces,no,"english, german (poorly)",single
29.0,fit,other,2,0,66.0,-1.0,artistic / musical / writer,2012-06-27-21-26,california,no_kids,straight,like_boths,agnosticism,m,aquarius,no,english,single
29.0,average,other,2,0,67.0,-1.0,computer / hardware / software,2012-06-29-19-18,california,no_kids,straight,like_cats,atheism,m,taurus,no,"english (fluently), chinese (okay)",single
32.0,fit,other,2,0,65.0,-1.0,other,2012-06-25-20-45,california,no_kids,straight,like_boths,agnosticism,f,virgo,,english,single
31.0,average,other,2,0,65.0,-1.0,artistic / musical / writer,2012-06-29-12-30,california,no_kids,straight,like_boths,christianity,f,sagittarius,no,"english, spanish (okay)",single
24.0,average,other,2,0,67.0,-1.0,other,2012-06-29-23-39,california,no_kids,straight,like_boths,christianity,f,gemini but it doesn&rsquo;t matter,when drinking,english,single
37.0,fit,other,0,0,65.0,-1.0,student,2012-06-28-21-08,california,no_kids,straight,like_boths,atheism,m,cancer but it doesn&rsquo;t matter,no,english (fluently),single
35.0,average,other,2,0,70.0,-1.0,other,2012-06-04-14-59,california,no_kids,straight,like_boths,agnosticism,m,taurus,yes,english,available
28.0,average,other,2,0,72.0,40000.0,banking / financial / real estate,2012-05-22-17-05,california,no_kids,straight,like_cats,christianity,m,leo but it doesn&rsquo;t matter,no,"english (fluently), sign language (poorly)",seeing someone
24.0,average,other,3,0,72.0,-1.0,entertainment / media,2012-05-28-21-28,other,no_kids,straight,like_boths,other,m,taurus,,english,single
30.0,fit,other,2,0,66.0,30000.0,sales / marketing / biz dev,2012-06-13-16-06,california,no_kids,straight,like_boths,christianity,f,,no,english,single
29.0,fit,other,2,0,62.0,50000.0,other,2012-06-29-08-55,california,no_kids,straight,like_boths,catholicism,f,taurus,no,english,single
39.0,fit,other,2,0,65.0,-1.0,medicine / health,2012-06-29-22-09,california,no_kids,straight,like_boths,atheism,f,aquarius but it doesn&rsquo;t matter,no,"english (fluently), spanish (okay)",single
33.0,fit,other,2,0,70.0,-1.0,entertainment / media,2012-06-29-16-08,california,no_kids,straight,like_boths,agnosticism,m,pisces but it doesn&rsquo;t matter,sometimes,"english (fluently), c++ (fluently), german (poorly), french (poorly)",single
26.0,average,other,2,0,64.0,-1.0,banking / financial / real estate,2012-06-29-21-17,california,no_kids,straight,like_boths,agnosticism,f,aries and it&rsquo;s fun to think about,no,english,single
31.0,average,other,1,0,71.0,-1.0,medicine / health,2012-06-29-04-04,california,no_kids,straight,like_boths,christianity,m,libra but it doesn&rsquo;t matter,no,english (fluently),single
33.0,fit,other,2,0,72.0,-1.0,science / tech / engineering,2012-06-27-21-41,california,no_kids,straight,like_boths,catholicism,m,pisces and it&rsquo;s fun to think about,no,english (fluently),single
27.0,average,other,2,0,67.0,-1.0,sales / marketing / biz dev,2012-06-26-20-40,california,no_kids,straight,like_dogs,catholicism,f,libra,no,english (fluently),single
